No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
604,RS Islam Jakarta Cempaka Putih,Jl. Cempaka Putih Tengah I Jakarta Pusat,B,Jakarta Pusat,106.8707131,-6.170312296,8.197541,0.169334
605,RSUD Koja,"Jl. Deli No.4 Tanjung Priok,Jakut",B,Jakarta Utara,106.9000005,-6.108861425,7.966169,0.145726
606,RS Mitra Internasional,"Jl. Jatinegara Timur No.85A-87,Jaktim",B,Jakarta Timur,106.8681893,-6.221395758,7.270101,0.295315
607,RSUD Cengkareng,"Dra. Khafifah Any,Apt,MARS",B,PemPro DKI Jakarta,106.7350004,-6.142750593,9.688643,0.134451
608,RSU Pasar Rebo,"Jl. TB Simatupang No.30,Jaktim",B,Jakarta Timur,106.8673955,-6.318381206,7.270101,0.001184
609,RSU Tarakan,Jl. Kyai Caringin Jakarta Pusat,B,Jakarta Pusat,106.8064575,-6.172840607,8.651885,0.152621
610,RS Manuela,Jl. Mangga Besar VIII/23 Jakbar,C,Kota Jakarta Barat,106.8093871,-6.151200589,10.695255,0.124784
611,RS Kramat 128,"Jl. Kramat Raya No.128,Jakpus",C,Jakarta Pusat,106.8440878,-6.185348385,8.231556,0.176128
612,RS Medika Griya,Jl. Danau Sunter Utara Jakut,C,Jakarta Utara,106.8653265,-6.138951439,6.872773,0.116274
613,RS Sukmul,Jl. Tawes No.18-20 Jakarta Utara,C,Jakarta Utara,106.8819991,-6.112330605,7.528811,0.129879
614,RS Harapan Bunda,Jl. Raya Bogor Km.22 No.44 Jaktim,C,Jakarta Timur,106.8674312,6.30303298,7.829339,0.032954
615,RS Yadika,Jl. P.Revolusi No.47 Pondok Bambu Jaktim,C,Jakarta Timur,106.7779237,-6.255226958,6.773685,0.094005
616,RSU Haji Jakarta,Jl. Raya Pondok Gede Jaktim,C,Jakarta Timur,106.8892986,6.290034701,7.335894,0.162707
617,RS Keluarga Afi,Jl. Kalipasir No.9 Jakarta Pusat,D,Jakarta Pusat,106.8387636,-6.187216749,8.231556,0.179738
618,RS Sumber Waras,Jl. Kiyai Tapa Grogol Jakbar,b,Kota Jakarta Barat,106.7980075,-6.166629079,9.367375,0.015759
619,RS Islam Jakarta Timur,Jl. Raya Pondok Kopi Jakarta Timur,c,Jakarta Timur,106.9400923,-6.220205178,6.908241,0.485845
